values,label,filename
pre.cwd,"Climatic water deficit, mm",cwd
delt.cwd,"Change in climatic water deficit, mm",cwd
pre.aet,"Actual evapotranspiration, mm",aet
delt.aet,"Change in actual evapotranspiration, mm",aet
pre.vpdmin,"Minimum VPD, kPa",vpdmin
delt.vpdmin,"Change in minimum VPD, kPa",vpdmin
pre.vpdmax,"Maximum VPD, kPa",vpdmax
delt.vpdmax,"Change in maximum VPD, kPa",vpdmax
pre.temp,"Temperature, C",temp
delt.temp,"Change in temperature, C",temp
pre.precip,"Precipitation, mm",precip
delt.precip,"Change in precipitation, mm",precip
