State_Plot,LAT,LON,n
500006,36.302156,-117.036828,1
500036,41.687014,-123.474287,2
500046,34.886057,-118.06847,1
500066,40.656529,-122.605474,1
500106,32.801037,-115.551797,2
500146,37.83269,-121.95034,1
500156,37.999235,-120.943238,1
500176,32.958044,-117.277486,2
500186,33.037671,-117.336356,2
500196,32.99786,-117.306902,2
500206,39.662844,-122.110636,2
500216,35.649331,-116.4061,1
500226,32.763772,-117.266339,2
500236,36.980255,-121.42729,1
500246,32.752446,-117.300326,2
500256,32.666273,-117.137439,2
500266,32.662159,-117.192012,1
500276,32.634981,-117.1562,2
500286,32.593024,-117.183401,2
500296,38.209334,-119.948802,1
500306,32.632894,-117.212579,2
500316,32.630789,-117.268959,2
500326,41.134689,-120.573956,2
500376,36.169293,-121.11485,2
500386,33.315987,-117.543496,1
500396,33.387325,-117.618992,2
500406,33.355694,-117.573231,2
500416,37.812095,-119.425472,2
500426,36.21638,-117.072115,2
500436,39.94551,-122.496661,2
500446,33.196777,-117.454512,2
500456,37.092606,-120.216052,2
500466,33.236524,-117.484136,2
500476,34.62204,-114.985576,2
500486,38.846617,-122.449135,2
500496,33.157017,-117.424913,2
500506,33.117245,-117.395362,1
500516,32.95588,-117.334091,1
500526,32.916063,-117.304683,2
500536,32.874081,-117.331851,2
500546,32.834258,-117.302487,2
500556,41.519176,-123.00123,2
500576,37.32544,-119.351903,2
500586,39.572348,-123.066163,1
500596,36.273182,-117.232932,2
500606,33.421802,-117.653669,1
500616,37.66995,-120.344446,2
500626,34.372244,-114.817483,2
500636,40.581294,-120.550555,1
500646,33.432694,-117.68975,1
500656,33.393033,-117.659913,1
500666,33.804257,-118.260237,2
500696,38.835124,-123.524286,2
500706,33.994856,-116.783298,2
500716,33.702306,-118.070996,2
500726,33.546658,-117.8935,2
500736,32.794693,-116.23898,1
500746,33.586243,-117.92354,1
500756,36.845748,-121.53798,1
500766,36.731516,-117.985363,1
500776,33.623245,-118.010683,2
500806,33.918864,-118.44672,1
500816,40.95626,-120.018817,2
500826,35.916071,-119.534348,1
500836,36.506627,-119.365312,2
500846,34.436083000000004,-119.549072,2
500856,33.580589,-115.403522,2
500866,33.694317,-118.242373,1
500876,33.691581,-118.299506,2
500886,33.728242,-118.386971,2
500896,33.688828,-118.356626,2
500906,33.686038,-118.413747,2
500916,33.404462,-118.315967,2
500926,33.443912,-118.346153,1
500936,33.441142,-118.40311,1
500946,33.364999,-118.285829,2
500956,39.541312,-120.135066,2
500966,34.984838,-119.492826,1
500976,32.832714,-118.293069,2
500996,34.026612,-118.57204,1
501006,34.006738,-118.543142,1
501016,38.419313,-121.134164,2
501036,34.019175,-118.688333,2
501046,35.490212,-117.483963,2
501056,33.967382,-118.512558,2
501066,34.450047,-118.777245,2
501076,33.888647,-118.451494,2
501086,33.849258,-118.421024,2
501096,33.816565,-118.413479,1
501106,33.757099,-118.437663,1
501116,33.807047,-118.447796,2
501126,40.212558,-124.252176,2
501136,33.725431,-118.44413,2
501146,33.517136,-118.520638,1
501156,33.514261,-118.577649,2
501166,38.129619,-119.211994,1
