Species,spp_cat,cat_abbr
Arbutus menziesii,Drought-tolerant hardwoods,DTH
Notholithocarpus densiflorus,Drought-tolerant hardwoods,DTH
Quercus chrysolepis,Drought-tolerant hardwoods,DTH
Quercus kelloggii,Drought-tolerant hardwoods,DTH
Calocedrus decurrens,drought-tolerant conifers,DTC
Juniperus occidentalis,drought-tolerant conifers,DTC
Pinus jeffreyi,drought-tolerant conifers,DTC
Pinus ponderosa,drought-tolerant conifers,DTC
Larix occidentalis,Fire adapted conifers,FAC
Pinus contorta,Fire adapted conifers,FAC
Pinus monticola,Fire adapted conifers,FAC
Pseudotsuga menziesii,Fire adapted conifers,FAC
Abies concolor,high elev conifers,HEC
Abies lasiocarpa,high elev conifers,HEC
Picea engelmannii,high elev conifers,HEC
Tsuga mertensiana,high elev conifers,HEC
Acer macrophyllum,Riparian and mesic hardwoods,RMH
Alnus rubra,Riparian and mesic hardwoods,RMH
Abies amabilis,Shade-tolerant conifers,STC
Abies grandis,Shade-tolerant conifers,STC
Pinus lambertiana,Shade-tolerant conifers,STC
Thuja plicata,Shade-tolerant conifers,STC
Tsuga heterophylla,Shade-tolerant conifers,STC
