STRATUM,P1POINTCNT,p1pntcnt_eu,area_used,stratum_descr
0,45216597,961062662,213735380.1,Water
1,16234655,961062662,213735380.1,"OR, public nonNFS, forest"
2,66343629,961062662,213735380.1,"OR, public nonNFS, nonforest"
3,39271308,961062662,213735380.1,"OR, private, forest"
4,84331149,961062662,213735380.1,"OR, private, non-forest"
5,51936339,961062662,213735380.1,"OR,NFS, forest  includes a few areas in CA managed by R6 (intensified)"
6,8339792,961062662,213735380.1,"OR, NFS, non-forest"
7,9979086,961062662,213735380.1,"OR, wilderness"
11,12760894,961062662,213735380.1,"WA, public nonNFS, forest"
12,12453726,961062662,213735380.1,"WA, public nonNFS, nonforest - includes a few NFS areas sampled at low intensity"
13,6182183,961062662,213735380.1,"WA, NPS, forest"
14,853953,961062662,213735380.1,"WA, NPS, nonforest"
15,42430085,961062662,213735380.1,"WA, private, forest"
16,76340951,961062662,213735380.1,"WA, private, nonforest"
17,24965985,961062662,213735380.1,"WA, NFS, forest"
18,2908766,961062662,213735380.1,"WA, NFS, nonforest"
19,12059382,961062662,213735380.1,"WA, wilderness"
31,17372588,961062662,213735380.1,"CA, public nonNFS, forest"
32,118537995,961062662,213735380.1,"CA, public nonNFS, nonforest"
33,63810918,961062662,213735380.1,"CA, private, forest"
34,157596643,961062662,213735380.1,"CA, private, nonforest"
35,48903408,961062662,213735380.1,"CA, NFS, forest"
36,19745094,961062662,213735380.1,"CA, NFS, nonforest"
37,13678874,961062662,213735380.1,"CA, wilderness, forest"
38,8808662,961062662,213735380.1,"CA, wilderness, nonforest"
