STATECD,PLOT_FIADB,INVYR,pre.vpdmax,post.vpdmax
6,69459,2003,20.40190096,21.405501176
6,68132,2007,11.6877006046,12.294100666
6,60907,2008,11.644400643600001,12.295200634
6,84689,2004,16.1029506685,16.868700695
6,85956,2009,11.0583005189,12.922130489
6,83164,2007,12.175550556,14.021600723999999
6,55148,2009,11.0709506028,12.337850571
6,61285,2001,10.458835411,11.224300479
6,87553,2008,9.031300354,9.839300251200001
6,54820,2005,18.8945508945,19.025600815
6,65629,2007,6.3813503027500005,8.0211005209
6,84116,2009,7.2770003795,8.722080373899999
6,80367,2009,10.5832004071,12.2356803889
6,55209,2004,36.083601475,36.009401322
6,52440,2002,36.6732521995,34.550401689
6,96189,2009,12.4561506275,14.331920528
6,73263,2001,13.5782955655,14.664500807
6,72515,2008,34.7736016275,38.047301865
6,63093,2006,35.611551761,36.296002198000004
6,82468,2008,35.0458520885,36.354501723
6,58758,2001,13.553860617,14.049900723
6,66888,2003,12.5272006035,14.719800854
6,93160,2005,10.9378504758,12.445100594
6,58124,2007,34.375501632,37.747801209
6,81095,2002,36.5868016235,35.146501158999996
6,89784,2004,36.338551808,35.801901627
6,60006,2006,35.975701618,36.643001938
6,76602,2002,12.5228005895,14.009400654
6,56743,2004,10.97640047035,12.457800484
6,97310,2009,34.4980018615,38.383181382
6,93909,2001,36.956086159,34.666801835
6,81132,2003,36.402801704,35.779001618
6,55340,2006,36.1214015955,36.92750206
6,60538,2004,9.6848004578,10.9243005741
6,71460,2001,36.26087675,33.416401672999996
6,71580,2003,35.722651482,35.304001998
6,97569,2005,35.4723019605,36.663301849
6,94947,2007,35.6162520405,37.988001632999996
6,58978,2009,35.313551331,38.282211685
6,84582,2002,35.8311517705,33.859101678
6,95926,2004,35.9210018155,36.254801559
6,59963,2006,35.8130516995,37.608702467
6,59594,2008,35.55670166,38.677301788
6,96642,2004,35.2114516265,35.527900887
6,61236,2002,36.156301785,34.073101616
6,77270,2008,34.4822017675,39.204001998
6,96707,2005,17.571550894,19.440000915
6,80263,2003,36.9944514275,35.390002059
6,89502,2005,35.419651413,36.966901017
6,99876,2007,35.11865158,39.12520218
6,75015,2007,36.1885018335,39.23340149
6,85992,2009,34.96800213,40.735111618
6,77295,2001,38.0179069515,34.906601907
6,94079,2006,37.980201913,39.001301574
6,65343,2008,14.3272006515,16.020100786
6,58977,2001,25.4119909285,26.40310135
6,85267,2003,31.9480014815,32.274901581
6,89323,2009,20.066850853,22.259630966
