PLT_CN,STATECD,INVYR,PLOT_FIADB
23970743010900,6,2002,50003
24319942010900,6,2003,50042
22953647010497,6,2007,50055
25163566010900,6,2004,50057
22953165010497,6,2007,50061
23685498010900,6,2001,50069
22931497010497,6,2008,50076
25009041010900,6,2004,50095
13174135010497,6,2005,50112
22953472010497,6,2007,50120
22953482010497,6,2007,50126
24220778010900,6,2003,50136
29879135010497,6,2009,50139
29880636010497,6,2009,50167
22953582010497,6,2007,50172
23987771010900,6,2002,50189
22930708010497,6,2008,50191
23802825010900,6,2002,50204
23655087010900,6,2001,50206
22953413010497,6,2007,50209
13136015010497,6,2005,50210
23781758010900,6,2002,50218
25045970010900,6,2004,50224
23713020010900,6,2001,50235
8959875010901,6,2006,50236
25049739010900,6,2004,50281
24972692010900,6,2004,50287
8940255010901,6,2006,50288
25150953010900,6,2004,50295
13126528010497,6,2005,50304
24297025010900,6,2003,50311
22953304010497,6,2007,50336
25058153010900,6,2004,50368
23993316010900,6,2002,50379
23785928010900,6,2002,50402
22953333010497,6,2007,50404
23991183010900,6,2002,50422
13183920010497,6,2005,50447
13162785010497,6,2005,50463
22930384010497,6,2008,50465
22953072010497,6,2007,50477
22930017010497,6,2008,50481
8933633010901,6,2006,50500
8983134010901,6,2005,50501
29880326010497,6,2009,50504
24270686010900,6,2003,50517
23692218010900,6,2001,50523
23657325010900,6,2001,50529
24000008010900,6,2002,50543
25157824010900,6,2004,50595
29881370010497,6,2009,50596
29394805010497,6,2008,50607
23799968010900,6,2002,50618
29880728010497,6,2009,50623
22953411010497,6,2007,50628
8953236010901,6,2006,50639
22930389010497,6,2008,50646
23811259010900,6,2002,50651
13139463010497,6,2005,50659
24239722010900,6,2003,50668
23652215010900,6,2001,50679
13118043010497,6,2005,50703
23834213010900,6,2002,50714
29880304010497,6,2009,50725
22931508010497,6,2008,50748
22931764010497,6,2008,50769
22953032010497,6,2007,50792
24971886010900,6,2004,50800
8951449010901,6,2006,50808
22930370010497,6,2008,50871
13090497010497,6,2005,50878
13183074010497,6,2005,50901
25144337010900,6,2004,50906
13170917010497,6,2005,50908
8962485010901,6,2006,50918
23686233010900,6,2001,50920
8887799010901,6,2006,50937
23648009010900,6,2001,50938
22931852010497,6,2008,50976
8918268010901,6,2006,51014
22930374010497,6,2008,51084
22953467010497,6,2007,51097
22953499010497,6,2007,51101
29394792010497,6,2008,51102
22953530010497,6,2007,51105
8907202010901,6,2006,51106
23685247010900,6,2001,51108
22930262010497,6,2008,51123
13108481010497,6,2005,51126
13128734010497,6,2005,51137
8925583010901,6,2006,51156
23697092010900,6,2001,51163
8915703010901,6,2006,51166
25023803010900,6,2004,51169
13190614010497,6,2004,51178
8945368010901,6,2006,51202
22953347010497,6,2007,51204
8966949010901,6,2006,51218
23695521010900,6,2001,51226
23975928010900,6,2002,51233
23949413010900,6,2002,51240
23750278010900,6,2001,51273
8984281010901,6,2005,51274
22953380010497,6,2007,51290
22931726010497,6,2008,51291
22953633010497,6,2007,51294
23988905010900,6,2002,51297
24339000010900,6,2003,51306
8963833010901,6,2006,51328
25056861010900,6,2004,51330
22953208010497,6,2007,51342
13132924010497,6,2005,51353
13174936010497,6,2005,51378
22953501010497,6,2007,51442
23726115010900,6,2001,51444
13146152010497,6,2005,51457
22931959010497,6,2008,51464
25127805010900,6,2004,51465
8917240010901,6,2006,51474
8905124010901,6,2006,51499
22931778010497,6,2008,51541
22931580010497,6,2008,51544
13111515010497,6,2005,51552
23720106010900,6,2001,51557
23657550010900,6,2001,51592
22953096010497,6,2007,51604
24333163010900,6,2003,51612
8971112010901,6,2006,51632
23653329010900,6,2001,51640
29881270010497,6,2009,51649
13192944010497,6,2004,51672
24291574010900,6,2003,51679
22953146010497,6,2007,51682
22931938010497,6,2008,51690
22952978010497,6,2006,51691
24308439010900,6,2003,51699
24253726010900,6,2003,51719
25143212010900,6,2004,51739
22931970010497,6,2008,51744
22953053010497,6,2007,51759
22930387010497,6,2008,51772
23999236010900,6,2002,51773
22953537010497,6,2007,51799
23648999010900,6,2001,51804
13171101010497,6,2005,51820
22953182010497,6,2007,51824
24303546010900,6,2003,51846
25123935010900,6,2004,51847
25018320010900,6,2004,51889
13067439010497,6,2005,51916
23699443010900,6,2001,51937
8945032010901,6,2006,51951
25038973010900,6,2004,51955
29394900010497,6,2008,51962
22931924010497,6,2008,51969
8966164010901,6,2006,51978
23813096010900,6,2002,51979
22953065010497,6,2007,51992
13171256010497,6,2005,52000
13064149010497,6,2005,52011
23690539010900,6,2001,52069
22953446010497,6,2007,52070
24327621010900,6,2003,52073
24972050010900,6,2004,52095
29881193010497,6,2009,52098
24972959010900,6,2004,52128
25156863010900,6,2004,52143
22953206010497,6,2007,52144
22931807010497,6,2008,52149
22931759010497,6,2008,52151
29880898010497,6,2009,52154
24272404010900,6,2003,52165
23990010010900,6,2002,52187
22931721010497,6,2008,52207
22953036010497,6,2007,52254
23766274010900,6,2002,52279
8923332010901,6,2006,52287
22931262010497,6,2008,52290
24308222010900,6,2003,52293
23982987010900,6,2002,52298
24230909010900,6,2003,52302
24226483010900,6,2003,52307
25142268010900,6,2004,52312
8887935010901,6,2006,52325
22931777010497,6,2008,52326
23800368010900,6,2002,52330
8976948010901,6,2005,52334
22930561010497,6,2008,52354
23768755010900,6,2002,52373
41119364010497,6,2004,52406
29879632010497,6,2009,52410
23812512010900,6,2002,52420
24283971010900,6,2003,52422
22953043010497,6,2007,52424
24232278010900,6,2003,52433
29881296010497,6,2009,52439
23793455010900,6,2002,52450
24211600010900,6,2003,52472
8940469010901,6,2006,52491
13162286010497,6,2005,52510
23770343010900,6,2002,52512
23704002010900,6,2001,52538
8899890010901,6,2006,52552
23701791010900,6,2001,52563
8958489010901,6,2006,52578
23979476010900,6,2002,52579
25062279010900,6,2004,52582
29881373010497,6,2009,52598
8979874010901,6,2005,52614
22931896010497,6,2008,52619
29394793010497,6,2008,52639
24215753010900,6,2003,52648
13160855010497,6,2005,52651
13146980010497,6,2005,52664
8956877010901,6,2006,52678
13161358010497,6,2005,52679
29880705010497,6,2009,52693
23948644010900,6,2002,52695
29879036010497,6,2009,52718
29880945010497,6,2009,52757
22952998010497,6,2007,52760
22930357010497,6,2008,52762
41118066010497,6,2001,52765
24974800010900,6,2004,52785
24249958010900,6,2003,52809
22931723010497,6,2008,52816
22931782010497,6,2008,52817
22953141010497,6,2007,52823
24310215010900,6,2003,52841
24297450010900,6,2003,52848
8889471010901,6,2006,52851
22931656010497,6,2008,52879
23964954010900,6,2002,52909
22931943010497,6,2008,52931
24301207010900,6,2003,52934
23652668010900,6,2001,52953
8905619010901,6,2006,52969
24250371010900,6,2003,53006
23664560010900,6,2001,53022
23650406010900,6,2001,53029
22953080010497,6,2007,53030
29881036010497,6,2009,53039
13137282010497,6,2005,53045
8911249010901,6,2006,53053
29879944010497,6,2009,53066
22930866010497,6,2008,53069
8965827010901,6,2006,53077
29880469010497,6,2009,53079
22930346010497,6,2008,53086
13164929010497,6,2005,53093
23684440010900,6,2001,53098
29881189010497,6,2009,53099
29880418010497,6,2009,53103
22931815010497,6,2008,53121
22953227010497,6,2007,53145
22953358010497,6,2007,53162
8980383010901,6,2005,53179
23710556010900,6,2001,53181
13177442010497,6,2005,53183
22823534010497,6,2007,53187
22953201010497,6,2007,53207
23766470010900,6,2002,53213
22931811010497,6,2008,53215
22930269010497,6,2008,53223
29880253010497,6,2009,53237
23963966010900,6,2002,53254
25138551010900,6,2004,53274
22953461010497,6,2007,53285
22953193010497,6,2007,53297
22953451010497,6,2007,53302
23761051010900,6,2001,53313
29880405010497,6,2009,53315
22931608010497,6,2008,53333
22952986010497,6,2007,53341
9563388010901,6,2002,53345
13185024010497,6,2005,53365
24274432010900,6,2003,53398
23709013010900,6,2001,53400
23965648010900,6,2002,53417
