spp,n,n.dead,frac.fire,frac.insect.disease,frac.animal,frac.vegetation,frac.unknown,frac.silviculture,frac.dead
X108,103400.39528134298,21369.138106007722,0.2333508097064545,0.6602780785705002,0.0023293497976799643,0.028826451873955636,0.02977607343480487,0,0.20666398854534607
X117,10324.776414575741,2092.788888773357,0.3850385614676757,0.32438870255736196,0,0.050657707212832644,0.10788576972213132,0,0.20269580712846386
X15,94832.74624264019,18956.87609609608,0.48182077225129777,0.38333526671956353,0,0.03476809204987029,0.05243974865540835,0,0.19989799776116143
X17,43834.470013252445,7746.4602190495725,0.3416072453953478,0.5383238376294062,0.0015537537997551004,0.049341948460129244,0.03629463999801033,0,0.1767207454933889
X19,34894.42969845039,8085.14065391269,0.43984393441545716,0.3875226001724208,0.003992279849860367,0.016344987243536516,0.036828588554551726,0,0.23170290283528375
X351,56117.56444840051,11782.320924876805,0.010286115305711375,0.13558156394339857,0.002043076585121254,0.348565031234298,0.12776960773524995,0,0.20995780983528822
X361,24329.594077720696,4222.870220772359,0.4597458922076128,0.14097836216937873,0,0.22494980293357364,0.0940060662418923,0,0.17356928386402312
X631,53375.144533186074,7897.266975547466,0.445759736152807,0.2523562187052216,0,0.10832220964777979,0.12650662599842788,0,0.14795776282417988
X818,31808.130763428304,5964.182940251972,0.5518097723736928,0.1927054228285527,0,0.08746653150427458,0.11739785819282711,0,0.18750498055388237
X93,14761.994348099803,3508.894903073775,0.497606327533439,0.3968794277995995,0.004001860335296016,0.024476297726586504,0.02429592061173443,0,0.23769788961648314
